,Player,Maps,K,D,A,KD,ACS_Map,K_Map,D_Map,A_Map
137,AsLanM4shadoW,3,33,44,AsLanM4shadoW,AsLanM4shadoW,AsLanM4shadoW,AsLanM4shadoW,AsLanM4shadoW,AsLanM4shadoW
138,AvovA,2,20,37,AvovA,AvovA,AvovA,AvovA,AvovA,AvovA
139,Secret,2,25,37,Secret,Secret,Secret,Secret,Secret,Secret
140,Nozwerr,6,61,78,Nozwerr,Nozwerr,Nozwerr,Nozwerr,Nozwerr,Nozwerr
141,xeta,2,17,30,xeta,xeta,xeta,xeta,xeta,xeta
142,Newzera,5,53,64,Newzera,Newzera,Newzera,Newzera,Newzera,Newzera
143,DubsteP,4,39,57,DubsteP,DubsteP,DubsteP,DubsteP,DubsteP,DubsteP
144,d4v41,2,16,31,d4v41,d4v41,d4v41,d4v41,d4v41,d4v41
145,crow,2,17,33,crow,crow,crow,crow,crow,crow
146,Melser,2,20,32,Melser,Melser,Melser,Melser,Melser,Melser
147,TENNN,2,17,34,TENNN,TENNN,TENNN,TENNN,TENNN,TENNN
148,Munchkin,2,18,30,Munchkin,Munchkin,Munchkin,Munchkin,Munchkin,Munchkin
149,SkRossi,3,29,45,SkRossi,SkRossi,SkRossi,SkRossi,SkRossi,SkRossi
150,dephh,2,16,30,dephh,dephh,dephh,dephh,dephh,dephh
151,Seoldam,1,7,16,Seoldam,Seoldam,Seoldam,Seoldam,Seoldam,Seoldam
152,Khalil,4,46,58,Khalil,Khalil,Khalil,Khalil,Khalil,Khalil
153,Turko,3,30,41,Turko,Turko,Turko,Turko,Turko,Turko
154,Boo,2,19,29,Boo,Boo,Boo,Boo,Boo,Boo
155,ban,2,16,32,ban,ban,ban,ban,ban,ban
156,starxo,2,17,29,starxo,starxo,starxo,starxo,starxo,starxo
157,zekken,2,15,32,zekken,zekken,zekken,zekken,zekken,zekken
158,soulcas,2,16,30,soulcas,soulcas,soulcas,soulcas,soulcas,soulcas
159,2ge,1,10,18,2ge,2ge,2ge,2ge,2ge,2ge
160,koldamenta,2,17,34,koldamenta,koldamenta,koldamenta,koldamenta,koldamenta,koldamenta
161,NagZ,2,14,33,NagZ,NagZ,NagZ,NagZ,NagZ,NagZ
